v,Drink,Glass,Instruction,Basic_taste,Category,Ingridients,Alcohol_type
0,After sex,Highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,sweet,Ordinary Drink,Orange Juice and vodka,Vodka
1,Bloody Mary ,Highball glass,"Stirring gently, pour all ingredients into highball glass. Garnish.",Salty,Cocktail,Vodka and tomato juice ,Vodka
2,Spritz,Cocktail glass,"Mix one third of Prosecco, one third of Aperol and one third of Sparkling Water, add ice.",Sour,Cocktail,"Aperol, Prosecco and Sparkling Water ",Aperol
3,Gin Tonic,Highball glass,Pour the gin and the tonic water into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge.,Sour,Ordinary Drink,Gin and tonic water ,GIn
4,Cosmopolitan,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,Sour,Cocktail,"Vodka, Triple Sec, Lemon Juice, Cranberry Juice",Vodka
5,Cuba Libre,Highball glass,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,Sour,Ordinary Drink,"White Rum, Lime Juice, Cola",Rum
,Long Island,Highball glass,Garnish all the elements with Lemon Wedge inside the Glass starting from Ice Cubes,Sweet,Cocktail,"Gin, Tequila, Vodka, White Rum, Lemon Juice, Cola",Gin
,Sex on the beach,Highball glass,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.,Bitter,Ordinary Drink,"Vodka, Peach schnapps, Oranges juiced, Cranberry juice, Glacé cherries to garnish",Vodka
,Negroni,Highball glass,"Add the gin, Campari and sweet vermouth to a mixing glass filled with ice, and stir until well-chilled. Add Ice. Garnish with an orange peel.",Bitter,Ordinary Drink,"Campari, Gin, sweet vermouth, organze peel ",Campari 
,Americano,Collins glass,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",Sour,Ordinary Drink,"Campari, Sweet Vermouth, Soda water, orange twist to garnish.",Campari 
,Moscow Mule,Copper Mug ,Pour vodka and lime juice into a mug; add ice cubes and ginger beer. Stir to combine. Drop a lime wedge into the mug for garnish.,Sweet,0,"Vodka, lime juice, ginger beer ",Vodka 
,Margarita,Cocktail glass,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",Sour,Ordinary Drink,"Cazadores Tequila, triple sec liqueur, part lime juice, lime wedge, Salt, Cubed ice",Tequila
,Mojito ,Highball glass,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,Sweet,Cocktail,"Fresh mint leaves, lime, white sugar, ice cubes, fluid ounces white rum, club soda",Rum
,Blue Angel ,Martini Glass,"Cool a small glass with 3 ice cubes. Squeeze a lemon and strain the juice. Pour in the gin, triple sec, lemon juice and blue curacao and shake.",Sour,Ordinary Drink,"Gin, Triple sec, Blue Curaçao, Lemon Juice",Gin
,Manhattan ,Cocktail glass,"Stirred over ice, strained into a chilled glass, garnished, and served up.",Sweet,Cocktail,"Whiskey, Sweet Vermouth and Bitters.",Whiskey
,Tequila,Shot glass ,"Pour tequila in a shot glass, take salt and Lemon in a separate plate ",Sour,Shot,"Tequila, Lemon, Salt",Tequila
,Bellini Martini ,Cocktail glass,Add ice cubes to shaker. Add vodka. Add peach schnapps. Add peach nectar. Shake. Strain into glass. Add lemon twist peel.,Sour,Ordinary Drink,"Vodka, Peach Schnapps",Vodka
,Gin Lemon ,Highball glass,Pour the gin and the Lemon into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge.,Sour,Ordinary Drink,Gin and Lemon,Gin
,Pina Colada,Collins glass,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve.",Sweet,Ordinary Drink,"Pineapple juice, White Rum, Coconut cream, Wedge of pineapple to garnish.",Rum 
,Mimosa,Highball glass,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.",Sweet,Ordinary Drink,"Sparkling wine, Orange Juice, Optional extras like vodka, Grand Marnier, Chambord, and whiskey.",Vodka
,Vodka Cola,Highball glass,Pour Vodka and Coca Cola into a Highball glass,Sour,Ordinary Drink,"Vodka, Cocacola",Vodka
,Tequila Surprise,Shot glass ,Fill shot glass with Tequila. Add drops of Tobasco sauce.,Bitter,Shot,"Tequila, tobasco source",Tequila 
,Orgasm ,Highball glass,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",Sweet,Ordinary Drink,"Baileys Irish Cream, Kahlua, Vodka, Amaretto, Cream",Baileys